Strain,Stress_MPa,condition,nozzle_mm,gravity,run
0.008990469450560585,1.938645179569718,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.008990469450560585,1.9793884351849556,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.00919209831137837,2.0182161405682555,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.009474303621974246,2.058022506535056,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.00939365207765037,2.0959522321820305,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.00939365207765037,2.1344863966107432,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.009958062698842123,2.1747741773724556,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.009958062698842123,2.212712104618556,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.009958062698842123,2.2510046079754806,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010079040015332021,2.289381034672256,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010603124864361907,2.3236927106976557,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010401571098089908,2.361203391849993,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010401571098089908,2.397590644657618,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010965981719285815,2.435042770206931,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010804753725179693,2.472150237858293,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.010804753725179693,2.507844932377343,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.011086959035775711,2.5427246168255806,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.011570718112639577,2.575176818668843,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.011570718112639577,2.610640342533593,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01144974079614968,2.643963821232318,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01193357496756334,2.6786085203289933,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.011732021201295352,2.711994369328018,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.011732021201295352,2.744880492985243,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012014226511891228,2.7799850538373057,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012215780278159219,2.811186225712306,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012215780278159219,2.8445264890789934,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.011893249195401474,2.8762352064251933,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012215780278159219,2.908057983219618,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012215780278159219,2.9435791090130805,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012659288677411012,2.973159797489643,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012659288677411012,3.002968223392968,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012659288677411012,3.035341270267968,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01302207043778498,3.0693843916058556,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.012981819760168899,3.099453742802143,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.013384927292708888,3.130555541813368,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.013384927292708888,3.1608402326703056,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.013788109919794662,3.1948539808392553,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.013586556153526674,3.2223606184124933,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.013586556153526674,3.2560009077191303,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014392846313152437,3.283994682133193,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014029989458228672,3.317147453129293,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014029989458228672,3.3474868848919934,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014433172085314446,3.3770504072308554,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014513823629642333,3.4063739851117183,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014715377395910324,3.438150031864643,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.014715377395910324,3.4673252180218683,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.015279788017102076,3.498934562504293,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01523946224494021,3.528052528202531,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01523946224494021,3.55929680615663,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.015561993327698096,3.5870925977826182,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01580387286613196,3.61697502881288,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01580387286613196,3.647132118046281,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01580387286613196,3.6775783613324178,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.01624738126538376,3.704893501102931,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.016086153271277777,3.7357677534222553,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.016086153271277777,3.7631256178021433,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
0.016368358581873656,3.7938461378216806,T105N06+1GFR085,0.6,+1G (upright),Test Run 65
